"","age","gender","white","nrsk1","nrsk2","nrsk3","nrsk4","nben1","nben2","nben3","nben4","rskben","plantSite","plantNew","morePlants","college","grad","ideology","democrat","republican","con","liberal","year"
"194",23,NA,0,10,7,10,7,3,2,10,10,3,3,3,3,0,0,7,0,0,1,0,2006
"195",50,0,1,3,2,3,3,9,9,8,8,5,6,6,6,0,0,NA,0,1,NA,NA,2006
"196",63,0,1,10,10,10,10,10,10,10,10,4,1,1,1,1,1,4,0,0,0,0,2006
"197",80,1,1,10,10,10,10,10,10,10,10,5,1,5,3,1,1,7,1,0,1,0,2006
"198",71,0,1,5,5,10,5,1,1,9,1,4,7,7,7,0,0,7,0,1,1,0,2006
"199",58,0,1,9,8,9,8,7,5,6,5,3,1,1,1,1,1,4,1,0,0,0,2006
"200",59,1,1,3,2,7,8,2,9,9,6,7,7,7,7,1,1,6,0,0,1,0,2006
"201",44,0,1,8,6,5,4,7,7,7,4,3,4,2,3,1,1,2,1,0,0,1,2006
"202",55,0,1,8,10,10,10,10,9,10,10,4,6,6,6,0,0,2,1,0,0,1,2006
"203",57,1,1,0,5,0,0,10,10,10,10,7,7,7,7,1,0,7,0,1,1,0,2006
"204",65,1,1,10,4,7,3,3,8,8,5,4,5,5,5,0,0,5,1,0,1,0,2006
"205",65,0,0,10,10,10,10,10,10,10,10,7,7,1,4,0,0,4,0,0,0,0,2006
"206",55,0,1,10,10,10,10,5,5,2,4,1,2,1,1.5,1,1,1,1,0,0,1,2006
"207",34,0,1,5,2,4,1,9,9,9,9,6,7,6,6.5,1,0,1,1,0,0,1,2006
"208",46,1,1,7,8,10,9,3,3,3,8,7,7,7,7,0,0,7,0,1,1,0,2006
"209",50,1,1,2,2,2,2,8,8,9,8,6,6,5,5.5,1,0,4,1,0,0,0,2006
"210",60,1,1,10,8,5,10,10,10,10,8,4,7,7,7,1,0,6,0,1,1,0,2006
"211",73,0,0,9,7,7,7,0,0,0,10,7,7,7,7,0,0,7,1,0,1,0,2006
"212",18,0,0,10,10,10,9,8,9,8,8,3,5,4,4.5,0,0,5,0,1,1,0,2006
"213",50,0,1,8,10,10,10,10,10,10,10,NA,7,NA,NA,0,0,4,0,0,0,0,2006
"214",46,1,1,2,3,3,1,8,8,8,8,7,7,4,5.5,1,1,2,1,0,0,1,2006
"215",44,0,0,10,10,10,10,NA,NA,NA,10,NA,1,1,1,0,0,NA,NA,NA,NA,NA,2006
"216",42,0,1,2,6,8,3,NA,6,6,5,5,3,2,2.5,0,0,6,0,1,1,0,2006
"217",26,1,1,10,10,10,0,0,10,10,10,7,7,7,7,1,0,7,0,1,1,0,2006
"218",59,0,1,10,7,10,5,10,5,10,10,4,5,5,5,1,1,3,1,0,0,1,2006
"219",51,1,1,2,3,1,2,8,8,6,6,7,7,7,7,1,0,6,0,1,1,0,2006
"220",31,1,1,1,1,1,1,10,10,10,8,4,5,5,5,0,0,4,0,1,0,0,2006
"221",52,0,1,4,5,8,4,10,7,8,8,NA,NA,NA,NA,0,0,5,0,1,1,0,2006
"222",84,1,1,8,4,8,5,10,8,10,7,6,7,7,7,0,0,4,1,0,0,0,2006
"223",56,1,1,1,1,3,0,10,8,10,10,5,3,3,3,0,0,4,0,1,0,0,2006
"224",45,1,0,1,1,2,1,7,8,9,8,7,7,7,7,1,1,6,0,0,1,0,2006
"225",55,0,1,10,10,10,5,10,10,6,5,4,3,3,3,0,0,4,NA,NA,0,0,2006
"226",57,0,1,1,1,1,1,7,10,8,9,7,7,7,7,1,0,7,NA,NA,1,0,2006
"227",54,0,1,5,6,8,5,5,6,4,6,5,1,2,1.5,0,0,4,NA,NA,0,0,2006
"228",36,1,1,4,10,8,3,6,5,6,5,4,2,2,2,0,0,7,0,1,1,0,2006
"229",51,1,1,10,10,10,4,1,4,3,1,1,1,1,1,0,0,4,0,0,0,0,2006
"230",41,1,1,7,7,7,5,8,8,9,4,4,2,1,1.5,1,0,3,0,0,0,1,2006
"231",18,1,1,5,2,4,1,6,8,9,6,4,7,1,4,0,0,6,0,1,1,0,2006
"232",48,1,1,4,1,1,NA,5,5,5,2,2,3,2,2.5,1,0,3,1,0,0,1,2006
"233",78,0,1,10,10,10,3,5,5,5,7,6,1,7,4,0,0,4,1,0,0,0,2006
"234",57,1,0,2,7,4,2,9,9,9,9,6,6,6,6,1,1,4,NA,NA,0,0,2006
"235",48,0,0,10,7,10,9,0,10,10,0,4,1,1,1,0,0,6,1,0,1,0,2006
"236",83,1,1,4,7,7,6,5,6,7,7,4,4,4,4,1,1,5,0,1,1,0,2006
"237",21,0,1,10,10,10,10,5,10,7,5,7,1,1,1,1,0,5,0,0,1,0,2006
"238",26,0,1,3,6,5,5,8,8,9,9,5,6,6,6,1,0,4,NA,NA,0,0,2006
"239",31,0,1,5,5,6,5,3,4,3,4,4,3,NA,NA,0,0,NA,NA,NA,NA,NA,2006
"240",19,1,1,8,5,5,3,6,2,8,4,5,6,6,6,0,0,3,0,0,0,1,2006
"241",79,0,1,2,10,10,2,10,10,10,10,7,7,7,7,0,0,2,0,1,0,1,2006
"242",82,0,1,5,10,10,5,10,10,10,10,5,7,7,7,0,0,NA,1,0,NA,NA,2006
"243",72,0,1,10,10,NA,NA,8,8,NA,NA,3,1,1,1,0,0,4,1,0,0,0,2006
